id,name,teachers,course_code,semester,program_code,program
134221,79747_mt1005_004364_cq giải tích 2 (mt1005)_nguyễn anh khoa (cq_hk252) [l13],nguyễn anh khoa,mt1005,hk252,cq,l13
134976,79747_lcn_ck_003421_clc student class (lcn)_phạm minh tuấn (clc_hk252),phạm minh tuấn,,hk252,clc,
134284,79747_ch3389_004362_clc sustainable development and environmental treament technology (ch3389)_hồ hoàng phước (clc_hk252) [cc02],hồ hoàng phước,ch3389,hk252,clc,cc02
135368,79747_ch4151_001903_cq mỹ phẩm chức năng (ch4151)_nguyễn hoàng dũng (cq_hk252) [l01],nguyễn hoàng dũng,ch4151,hk252,cq,l01
134164,79747_ch4151_003177_cq mỹ phẩm chức năng (ch4151)_trịnh trần hồng duyên (cq_hk252) [l01],trịnh trần hồng duyên,ch4151,hk252,cq,l01
134596,79747_lcn_ck_003405_cq lớp chủ nhiệm (lcn)_trịnh thị kim huệ (cq_hk252),trịnh thị kim huệ,,hk252,cq,
134856,79747_lcn_ud_001673_nhat lớp chủ nhiệm (lcn)_trương tích thiện (nhat_hk252),trương tích thiện,,hk252,nhat,
134335,79747_la3027_010631_cq tiếng nhật 6 (la3027)_đồng thị ngọc hạnh (cq_hk252) [a05],đồng thị ngọc hạnh,la3027,hk252,cq,a05
132222,79747_ci2143_002871_cq viễn thám (ci2143)_nguyễn trọng khánh (cq_hk252) [l01],nguyễn trọng khánh,ci2143,hk252,cq,l01
131080,79747_ci2144_002871_cq viễn thám (tn) (ci2144)_nguyễn trọng khánh (cq_hk252) [l01],nguyễn trọng khánh,ci2144,hk252,cq,l01
131757,79747_ch2043_010435_clc heat transfer processes and equipments (ch2043)_soraya sambudi nonni (clc_hk252) [cc01],soraya sambudi nonni,ch2043,hk252,clc,cc01
130261,79747_ch2043_010538_clc heat transfer processes and equipments (ch2043)_yulia muhlis fayza (clc_hk252) [cc01],yulia muhlis fayza,ch2043,hk252,clc,cc01
130229,79747_ch2043_010535_clc heat transfer processes and equipments (ch2043)_fachmi buys yose (clc_hk252) [cc01],fachmi buys yose,ch2043,hk252,clc,cc01
135415,"79747_co1007_004361_clc discrete structures for computing (co1007)_pham an vinh (clc_hk252) [cc03,cc04]",phạm an vinh,co1007,hk252,clc,"cc03,cc04"
131959,79747_co1007_004352_clc discrete structures for computing (co1007)_vũ ngọc tú (clc_hk252) [cc04],vũ ngọc tú,co1007,hk252,clc,cc04
132056,"79747_ch2019_010538_clc mechanical processes and equipments (ch2019)_yulia muhlis fayza (clc_hk252) [cc01,cc02,cc03]",yulia muhlis fayza,ch2019,hk252,clc,"cc01,cc02,cc03"
132055,"79747_ch2019_010535_clc mechanical processes and equipments (ch2019)_fachmi buys yose (clc_hk252) [cc01,cc02,cc03]",fachmi buys yose,ch2019,hk252,clc,"cc01,cc02,cc03"
130472,"79747_ch2019_010435_clc mechanical processes and equipments (ch2019)_soraya sambudi nonni (clc_hk252) [cc01,cc02,cc03]",soraya sambudi nonni,ch2019,hk252,clc,"cc01,cc02,cc03"
135689,79747_ch4357_003322_clc capstone project (ch4357)_lê minh viễn (clc_hk252) [cc04],lê minh viễn,ch4357,hk252,clc,cc04
131931,79747_co3038_004339_kstn phát triển ứng dụng internetthings (tn (co3038)_phan văn sỹ (kstn_hk252) [tn01],phan văn sỹ,co3038,hk252,kstn,tn01
132370,79747_im3085_003440_cq tài chính quốc tế (im3085)_nguyễn tiến dũng (cq_hk252) [l01],nguyễn tiến dũng,im3085,hk252,cq,l01
131821,"79747_co2040_010860_cq lập trình nâng cao (bt) (co2040)_nguyễn đỗ trung kiên (cq_hk252) [l04,l08]",nguyễn đỗ trung kiên,co2040,hk252,cq,"l04,l08"
131732,79747_co2018_010560_clc operating systems (lab) (co2018)_vũ thành tài (clc_hk252) [cc04],vũ thành tài,co2018,hk252,clc,cc04
134217,79747_ch2035_010528_clc food engineering 2 (ch2035)_lee boon beng (clc_hk252) [cc01],lee boon beng,ch2035,hk252,clc,cc01
134560,79747_lcn_hc_004268_ctta lớp chủ nhiệm (lcn)_trần văn nguyên (ctta_hk252),trần văn nguyên,,hk252,ctta,
131155,"79747_ge4347_003661_cq đồ án tốt nghiệp (ge4347)_lê nguyễn hải nam (cq_hk252) [a01,l01]",lê nguyễn hải nam,ge4347,hk252,cq,"a01,l01"
131340,79747_ci4154_002632_cq bê tông đặc biệt cho công trình (tn) (ci4154)_lê văn hải châu (cq_hk252) [l01],lê văn hải châu,ci4154,hk252,cq,l01
134333,79747_la3027_010835_cq tiếng nhật 6 (la3027)_trần thị hải đăng (cq_hk252) [a02],trần thị hải đăng,la3027,hk252,cq,a02
131204,79747_la3027_010293_cq tiếng nhật 6 (la3027)_nguyễn thị thu hằng (cq_hk252) [a02],nguyễn thị thu hằng,la3027,hk252,cq,a02
134314,79747_la3027_004307_cq tiếng nhật 6 (la3027)_phạm thị thùy linh (cq_hk252) [a03],phạm thị thùy linh,la3027,hk252,cq,a03
134941,79747_lcn_mt_004343_nhat lớp chủ nhiệm (lcn)_trương vĩnh lân (nhat_hk252),trương vĩnh lân,,hk252,nhat,
131158,"79747_ci1004_002358_cq vẽ kỹ thuật (thl,tn) (ci1004)_đặng văn công bằng (cq_hk252) [l02,l07,l08,l10,l20,l26]",đặng văn công bằng,ci1004,hk252,cq,"l02,l07,l08,l10,l20,l26"
136194,79747_co3101_004343_cq đồ án tổng hợp - hướng trí tuệ nhân tạo (co3101)_trương vĩnh lân (cq_hk252) [l01],trương vĩnh lân,co3101,hk252,cq,l01
130641,"79747_ch1004_002817_cq hóa đại cương (tn) (ch1004)_nguyễn thị thanh phượng (cq_hk252) [l20,l42,l55,l57]",nguyễn thị thanh phượng,ch1004,hk252,cq,"l20,l42,l55,l57"
131876,"79747_iu2011_003032_cq kỹ thuật điện tử (iu2011)_lê quang ngọc (cq_hk252) [l01,l02]",lê quang ngọc,iu2011,hk252,cq,"l01,l02"
132404,79747_co2004_004305_cq cấu trúc dữ liệu và giải thuật (th) (co2004)_dương đức tín (cq_hk252) [a01],dương đức tín,co2004,hk252,cq,a01
134544,79747_lcn_mt_002883_nhat lớp chủ nhiệm (lcn)_trương tuấn anh (nhat_hk252),trương tuấn anh,,hk252,nhat,
136190,79747_co3103_004351_clc programming intergration project (co3103)_lê xuân bách (clc_hk252) [cc01],lê xuân bách,co3103,hk252,clc,cc01
134610,79747_lcn_hc_002617_cq lớp chủ nhiệm (lcn)_trần thị nguyệt viên (cq_hk252),trần thị nguyệt viên,,hk252,cq,
134481,79747_lcn_xd_002711_vlvh lớp chủ nhiệm (lcn)_vũ việt hùng (vlvh_hk252),vũ việt hùng,,hk252,vlvh,
134450,79747_lcn_xd_004216_vlvh lớp chủ nhiệm (lcn)_trần hiếu hiền (vlvh_hk252),trần hiếu hiền,,hk252,vlvh,
