code,name,credit,program,size,language,teacher,dayOfWeek,slot,room,branch,weeks
sp1007,ph/luật việtnam đạicương,2,a01,115/120,v,,thứ 4,- - - - - - - - 9 10 - - - - - -,b4-505,1,
sp1007,ph/luật việtnam đạicương,2,a03,120/120,v,,thứ 6,- - - - 5 6 - - - - - - - - - -,c4-503,1,
sp1007,ph/luật việtnam đạicương,2,a04,119/120,v,,thứ 6,- - - - - - 7 8 - - - - - - - -,c4-503,1,
sp1007,ph/luật việtnam đạicương,2,cc01,120/120,v,,thứ 5,- - - - - - 7 8 - - - - - - - -,b4-505,1,
sp1007,ph/luật việtnam đạicương,2,cc02,70/120,v,,thứ 5,- - - - - - - - 9 10 - - - - - -,b4-505,1,
sp1007,ph/luật việtnam đạicương,2,cc03,120/120,v,,thứ 3,- - - - - - - - 9 10 - - - - - -,b4-505,1,
sp1007,ph/luật việtnam đạicương,2,cc04,119/120,v,,thứ 3,- - - - - - - - - - 11 12 - - - -,b4-505,1,
sp1007,ph/luật việtnam đạicương,2,cc07,100/120,v,,thứ 5,- - - - 5 6 - - - - - - - - - -,c4-503,1,
sp1007,ph/luật việtnam đạicương,2,cc08,120/120,v,,thứ 5,- - - - - - - - - - 11 12 - - - -,b4-505,1,
sp1007,ph/luật việtnam đạicương,2,cc09,120/121,v,,thứ 4,- - - - - - - - - - 11 12 - - - -,b4-505,1,
sp1007,ph/luật việtnam đạicương,2,cc10,119/120,v,,thứ 3,- 2 3 - - - - - - - - - - - - -,b4-505,1,
sp1007,ph/luật việtnam đạicương,2,l01,277/320,v,,thứ 5,- - - - - - 7 8 - - - - - - - -,h1-gdh1,2,
sp1007,ph/luật việtnam đạicương,2,l02,314/320,v,,thứ 4,- - - - 5 6 - - - - - - - - - -,h1-gdh1,2,
sp1007,ph/luật việtnam đạicương,2,l03,176/320,v,,thứ 6,- - - - 5 6 - - - - - - - - - -,h1-gdh1,2,
sp1007,ph/luật việtnam đạicương,2,l04,321/320,v,,thứ 6,- - - - - - 7 8 - - - - - - - -,h1-gdh1,2,
sp1007,ph/luật việtnam đạicương,2,l08,321/320,v,,thứ 3,- - - - 5 6 - - - - - - - - - -,h6-gdh6,2,
sp1007,ph/luật việtnam đạicương,2,l09,319/320,v,,thứ 5,- - - 4 5 - - - - - - - - - - -,h6-gdh6,2,
me4533,quản lý đơn hàng,3,l01,70/70,v,trần đại nguyên,thứ 6,- 2 3 - - - - - - - - - - - - -,h6-112,2,
